customer_id,customer_name,segment,home_country,risk_score
0,customer_0,RETAIL,FR,63.9
1,customer_1,PREMIUM,DE,2.5
2,customer_2,PRIVATE,ES,27.5
3,customer_3,CORPORATE,IT,22.3
4,customer_4,RETAIL,US,73.6
5,customer_5,PREMIUM,UK,67.7
6,customer_6,PRIVATE,MA,89.2
7,customer_7,CORPORATE,NL,8.7
8,customer_8,RETAIL,BE,42.2
9,customer_9,PREMIUM,PT,3.0
10,customer_10,PRIVATE,FR,21.9
11,customer_11,CORPORATE,DE,50.5
12,customer_12,RETAIL,ES,2.7
13,customer_13,PREMIUM,IT,19.9
14,customer_14,PRIVATE,US,65.0
15,customer_15,CORPORATE,UK,54.5
16,customer_16,RETAIL,MA,22.0
17,customer_17,PREMIUM,NL,58.9
18,customer_18,PRIVATE,BE,80.9
19,customer_19,CORPORATE,PT,0.6
20,customer_20,RETAIL,FR,80.6
21,customer_21,PREMIUM,DE,69.8
22,customer_22,PRIVATE,ES,34.0
23,customer_23,CORPORATE,IT,15.5
24,customer_24,RETAIL,US,95.7
25,customer_25,PREMIUM,UK,33.7
26,customer_26,PRIVATE,MA,9.3
27,customer_27,CORPORATE,NL,9.7
28,customer_28,RETAIL,BE,84.7
29,customer_29,PREMIUM,PT,60.4
30,customer_30,PRIVATE,FR,80.7
31,customer_31,CORPORATE,DE,73.0
32,customer_32,RETAIL,ES,53.6
33,customer_33,PREMIUM,IT,97.3
34,customer_34,PRIVATE,US,37.9
35,customer_35,CORPORATE,UK,55.2
36,customer_36,RETAIL,MA,82.9
37,customer_37,PREMIUM,NL,61.9
38,customer_38,PRIVATE,BE,86.2
39,customer_39,CORPORATE,PT,57.7
40,customer_40,RETAIL,FR,70.5
41,customer_41,PREMIUM,DE,4.6
42,customer_42,PRIVATE,ES,22.8
43,customer_43,CORPORATE,IT,28.9
44,customer_44,RETAIL,US,8.0
45,customer_45,PREMIUM,UK,23.3
46,customer_46,PRIVATE,MA,10.1
47,customer_47,CORPORATE,NL,27.8
48,customer_48,RETAIL,BE,63.6
49,customer_49,PREMIUM,PT,36.5
50,customer_50,PRIVATE,FR,37.0
51,customer_51,CORPORATE,DE,21.0
52,customer_52,RETAIL,ES,26.7
53,customer_53,PREMIUM,IT,93.7
54,customer_54,PRIVATE,US,64.8
55,customer_55,CORPORATE,UK,60.9
56,customer_56,RETAIL,MA,17.1
57,customer_57,PREMIUM,NL,72.9
58,customer_58,PRIVATE,BE,16.3
59,customer_59,CORPORATE,PT,37.9
60,customer_60,RETAIL,FR,99.0
61,customer_61,PREMIUM,DE,64.0
62,customer_62,PRIVATE,ES,55.7
63,customer_63,CORPORATE,IT,68.5
64,customer_64,RETAIL,US,84.3
65,customer_65,PREMIUM,UK,77.6
66,customer_66,PRIVATE,MA,22.9
67,customer_67,CORPORATE,NL,3.2
68,customer_68,RETAIL,BE,31.5
69,customer_69,PREMIUM,PT,26.8
70,customer_70,PRIVATE,FR,21.1
71,customer_71,CORPORATE,DE,94.3
72,customer_72,RETAIL,ES,87.6
73,customer_73,PREMIUM,IT,31.5
74,customer_74,PRIVATE,US,65.5
75,customer_75,CORPORATE,UK,39.6
76,customer_76,RETAIL,MA,91.5
77,customer_77,PREMIUM,NL,45.9
78,customer_78,PRIVATE,BE,26.5
79,customer_79,CORPORATE,PT,24.7
80,customer_80,RETAIL,FR,56.1
81,customer_81,PREMIUM,DE,26.3
82,customer_82,PRIVATE,ES,58.5
83,customer_83,CORPORATE,IT,89.8
84,customer_84,RETAIL,US,39.9
85,customer_85,PREMIUM,UK,21.9
86,customer_86,PRIVATE,MA,99.8
87,customer_87,CORPORATE,NL,51.0
88,customer_88,RETAIL,BE,9.1
89,customer_89,PREMIUM,PT,4.7
90,customer_90,PRIVATE,FR,11.0
91,customer_91,CORPORATE,DE,62.7
92,customer_92,RETAIL,ES,79.2
93,customer_93,PREMIUM,IT,42.2
94,customer_94,PRIVATE,US,6.4
95,customer_95,CORPORATE,UK,38.2
96,customer_96,RETAIL,MA,99.6
97,customer_97,PREMIUM,NL,52.9
98,customer_98,PRIVATE,BE,97.1
99,customer_99,CORPORATE,PT,86.1
100,customer_100,RETAIL,FR,1.1
101,customer_101,PREMIUM,DE,72.1
102,customer_102,PRIVATE,ES,68.2
103,customer_103,CORPORATE,IT,53.7
104,customer_104,RETAIL,US,26.7
105,customer_105,PREMIUM,UK,64.1
106,customer_106,PRIVATE,MA,11.2
107,customer_107,CORPORATE,NL,43.5
108,customer_108,RETAIL,BE,45.4
109,customer_109,PREMIUM,PT,95.4
110,customer_110,PRIVATE,FR,87.6
111,customer_111,CORPORATE,DE,26.3
112,customer_112,RETAIL,ES,50.1
113,customer_113,PREMIUM,IT,17.9
114,customer_114,PRIVATE,US,91.3
115,customer_115,CORPORATE,UK,87.1
116,customer_116,RETAIL,MA,29.8
117,customer_117,PREMIUM,NL,63.9
118,customer_118,PRIVATE,BE,60.9
119,customer_119,CORPORATE,PT,15.3
120,customer_120,RETAIL,FR,76.3
121,customer_121,PREMIUM,DE,53.9
122,customer_122,PRIVATE,ES,77.9
123,customer_123,CORPORATE,IT,53.0
124,customer_124,RETAIL,US,0.1
125,customer_125,PREMIUM,UK,32.4
126,customer_126,PRIVATE,MA,1.9
127,customer_127,CORPORATE,NL,92.9
128,customer_128,RETAIL,BE,87.9
129,customer_129,PREMIUM,PT,83.2
130,customer_130,PRIVATE,FR,30.8
131,customer_131,CORPORATE,DE,5.8
132,customer_132,RETAIL,ES,87.8
133,customer_133,PREMIUM,IT,94.7
134,customer_134,PRIVATE,US,8.6
135,customer_135,CORPORATE,UK,48.6
136,customer_136,RETAIL,MA,6.9
137,customer_137,PREMIUM,NL,76.1
138,customer_138,PRIVATE,BE,76.6
139,customer_139,CORPORATE,PT,12.8
140,customer_140,RETAIL,FR,47.5
141,customer_141,PREMIUM,DE,55.0
142,customer_142,PRIVATE,ES,26.5
143,customer_143,CORPORATE,IT,87.2
144,customer_144,RETAIL,US,42.3
145,customer_145,PREMIUM,UK,21.2
146,customer_146,PRIVATE,MA,53.9
147,customer_147,CORPORATE,NL,73.0
148,customer_148,RETAIL,BE,20.1
149,customer_149,PREMIUM,PT,31.2
150,customer_150,PRIVATE,FR,99.5
151,customer_151,CORPORATE,DE,65.0
152,customer_152,RETAIL,ES,43.8
153,customer_153,PREMIUM,IT,51.8
154,customer_154,PRIVATE,US,12.1
155,customer_155,CORPORATE,UK,22.5
156,customer_156,RETAIL,MA,33.8
157,customer_157,PREMIUM,NL,58.8
158,customer_158,PRIVATE,BE,23.0
159,customer_159,CORPORATE,PT,22.0
160,customer_160,RETAIL,FR,7.1
161,customer_161,PREMIUM,DE,63.1
162,customer_162,PRIVATE,ES,22.9
163,customer_163,CORPORATE,IT,90.5
164,customer_164,RETAIL,US,86.0
165,customer_165,PREMIUM,UK,7.1
166,customer_166,PRIVATE,MA,23.8
167,customer_167,CORPORATE,NL,66.9
168,customer_168,RETAIL,BE,21.4
169,customer_169,PREMIUM,PT,13.2
170,customer_170,PRIVATE,FR,93.6
171,customer_171,CORPORATE,DE,57.1
172,customer_172,RETAIL,ES,47.3
173,customer_173,PREMIUM,IT,78.5
174,customer_174,PRIVATE,US,80.7
